Region,Subregion,Country,City/station,PM10,PM 2.5,of monitoring stations,for air quality
Afr,AfrD,Ghana,Accra,98,49,4 residential and 1 roadside station in Accra,"Dionisio KL, Arku RE, Hughes AF, et al. Air pollution in Accra neighborhoods: spatial, socioeconomic, and temporal patterns. Environ. Sci. Technol. 2010;44(7):2270-2276.  "
Afr,AfrD,Liberia,Buchanan (rural),66,9,"1 station: rural, 500m away from community, Osris","Nimba Western Area Iron Ore Concentrator Mining Project, Environmental and Social impact assessment, March 2014"
Afr,AfrD,Liberia,Sanniquellie (rural),52,10,"1 station: rural, within the community, Osiris monitors","Nimba Western Area Iron Ore Concentrator Mining Project, Environmental and Social impact assessment, March 2013"
Afr,AfrD,Mauritius,"Beau Bassin/Rose Hill, Coromandel",131,66,1 station: in town of Beau Bassin/Rose Hill,"Environment Statistics 2011, Government of Mauritius"
Afr,AfrD,Mauritius,"Bramsthan, Flacq",37,19,1 station: in Placq (rural),"Environment Statistics 2010, Government of Mauritius"
Afr,AfrD,Mauritius,Midlands,20,10,1 station: rural,"Environment Statistics 2011, Government of Mauritius"
Afr,AfrD,Mauritius,Port Louis,22,11,1 station: urban St Louis city,"Environment Statistics 2010, Government of Mauritius"
Afr,AfrD,Senegal,Dakar,179,40,"3 stations in capital city: 2 traffic, 1 urban for PM10;  1 station traffic for PM2.5","République du Sénégal, Ministère de l'Environnement, Suivi de la qualité de l'air à Dakar."
Afr,AfrE,South Africa,"Cape Town (urban, total)",30,16,"7 stations: 6 urban (incl regional urban), 1 industrial","2012 State of Air Report and National Air Quality Indicator Session 1.4 - SAAQIS, from the 7th Lekgota on Air Quality Governance"
Afr,AfrE,South Africa,Durban,26,14,"5 stations: urban, mostly residential","South African Air Quality Information System, data received upon request (July 2013)"
Afr,AfrE,South Africa,Highveld Priority Area Network,51,24,5 stations: residential,"South African Air Quality Information System, data received upon request (July 2013)"
Afr,AfrE,South Africa,Johannesburg,98,51,"6 stations: 2 no info, 3 background, 1 urbna/commercial/industrial","2012 State of Air Report and National Air Quality Indicator Session 1.4 - SAAQIS, from the 7th Lekgota on Air Quality Governance"
Afr,AfrE,South Africa,"Tshwane (Pretoria) (total, urban)",59,31,"6 stations: 3 no info, 3 residential/industrial","South African Air Quality Information System, data received upon request (July 2013)"
Afr,AfrE,South Africa,Vaal Priority Area ,62,32,"5 stations: urban, mostly residential","South African Air Quality Information System, data received upon request (July 2013)"
Afr,AfrE,South Africa,Waterberg,48,11,3 stations: residential,"South African Air Quality Information System, data received upon request (July 2013)"
Afr,AfrE,Unit. Rep. of Tanzania,Morogoro,35,23,"1 station, 2 measurement (during dry and wet season)","Mkoma, Stelyus L., et al. ""Characteristics of Low-Molecular Weight Carboxylic Acids in PM2. 5 and PM10 Ambient Aerosols From Tanzania."" (2012)."
Amr,AmrB,Argentina,Buenos Aires,30,16,"3 stations, 2 stations in residential/commercial with fixed sources and 1 in mixed zone with medium to low traffic","Buenos Aires Ciudad. Agencia de Protección Ambiental, 2013."
Amr,AmrD,Bolivia (Plurinational State of),Cochabamba,75,41,1 station,"Gobierno Municipal de Cohambra, RED Monica, 2013."
Amr,AmrD,Bolivia (Plurinational State of),La Paz,42,23,4 stations in city centre,"Gobierno Autonomo Municipal de La Paz. Compendio Estatisticas Ambientales, 2011."
Amr,AmrB,Brazil,Americana,34,18,1 station,"Relatorio annual da qualidade do ar na Região Metropolitana de Curitiba, Instituto Ambiental do Paraná, Curitiba, 2011."
Amr,AmrB,Brazil,Araçatuba,39,21,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2012"
Amr,AmrB,Brazil,Araraquara,31,17,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2012"
Amr,AmrB,Brazil,Araucária,31,17,2 stations,"Relatorio annual da qualidade do ar na Região Metropolitana de Curitiba, Instituto Ambiental do Paraná, Curitiba, 2011."
Amr,AmrB,Brazil,Bauru,30,16,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2012"
Amr,AmrB,Brazil,Belo Horizonte,52,28,1 station,"Monitoramento da qualidade do ar na Região Metropolitana de Belo Horizonte no ano base de 2011: relatório técnico / Diretoria de Gestão da Qualidade Ambiental. --- Belo Horizonte: Fundação Estadual do Meio Ambiental, 2013."
Amr,AmrB,Brazil,Betim,43,23,3 stations,"Monitoramento da qualidade do ar na Região Metropolitana de Belo Horizonte no ano base de 2011: relatório técnico / Diretoria de Gestão da Qualidade Ambiental. --- Belo Horizonte: Fundação Estadual do Meio Ambiental, 2013."
Amr,AmrB,Brazil,Campinas-Centro,31,17,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2012"
Amr,AmrB,Brazil,Carapicuíba,34,18,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2012"
Amr,AmrB,Brazil,Catanduva,38,21,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2012"
Amr,AmrB,Brazil,Colombo,46,25,1 station,"Relatorio annual da qualidade do ar na Região Metropolitana de Curitiba, Instituto Ambiental do Paraná, Curitiba, 2011."
Amr,AmrB,Brazil,Curitiba,31,17,6 stations,"Relatorio annual da qualidade do ar na Região Metropolitana de Curitiba, Instituto Ambiental do Paraná, Curitiba, 2011."
Amr,AmrB,Brazil,Diadema,35,19,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2012"
Amr,AmrB,Brazil,Grande Vitoria,30,16,NA,Instituto Brasileiro de Geografia e Estatistica
Amr,AmrB,Brazil,Ibirité,31,17,2 stations,"Monitoramento da qualidade do ar na Região Metropolitana de Belo Horizonte no ano base de 2011: relatório técnico / Diretoria de Gestão da Qualidade Ambiental. --- Belo Horizonte: Fundação Estadual do Meio Ambiental, 2013."
Amr,AmrB,Brazil,Jacareí,26,14,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2013"
Amr,AmrB,Brazil,Jau,33,18,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2014"
Amr,AmrB,Brazil,Jundiaí,29,16,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2015"
Amr,AmrB,Brazil,Limeira,46,25,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2016"
Amr,AmrB,Brazil,Marília,21,11,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2017"
Amr,AmrB,Brazil,Mauá,35,19,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2018"
Amr,AmrB,Brazil,Osasco,45,24,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2019"
Amr,AmrB,Brazil,Paulínia,32,17,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2020"
Amr,AmrB,Brazil,Piracicaba,42,15,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2021"
Amr,AmrB,Brazil,Pirassununga,31,17,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2022"
Amr,AmrB,Brazil,Presidente Prudente,22,12,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2023"
Amr,AmrB,Brazil,Ribeirão Preto,30,16,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2024"
Amr,AmrB,Brazil,Rio Claro,50,27,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2025"
Amr,AmrB,Brazil,Rio de Janeiro,67,36,NA,Instituto Brasileiro de Geografia e Estatistica
Amr,AmrB,Brazil,Salvador,17,9,1 station,Instituto Brasileiro de Geografia e Estatistica
Amr,AmrB,Brazil,Santa Gertrudes,81,44,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2012"
Amr,AmrB,Brazil,Santo André,36,19,2 stations,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2013"
Amr,AmrB,Brazil,São Bernardo do Campo,35,19,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2014"
Amr,AmrB,Brazil,São Caetano do Sul,39,20,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2015"
Amr,AmrB,Brazil,São José do Rio Preto,38,14,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2016"
Amr,AmrB,Brazil,São José dos Campos,23,12,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2017"
Amr,AmrB,Brazil,Sao Paulo,35,19,9 stations,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2018"
Amr,AmrB,Brazil,Socoraba,32,17,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2019"
Amr,AmrB,Brazil,Taboão da Serra,35,19,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2020"
Amr,AmrB,Brazil,Tatuí,25,14,1 station,"Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2021"
Amr,AmrB,Colombia,Bogota,48,27,14 stations,"Observatorio Ambiental de Bogota, 2013."
Amr,AmrB,Colombia,Bucaramanga,39,22,6 stations,"Informe anual de Calidad del Aire de Bucaramanga, 2011."
Amr,AmrB,Colombia,Caldas,58,32,1 station,"Evaluar y monitorear la calidad del aire en el Valle de Aburrá, Area Metropolitana Valle de Aburra, Medellin, 2012."
Amr,AmrB,Colombia,Cali,23,13,3 stations,"Boletín de calidad del aire Anual (feb 1/10 – ene 31/11), Cali, 2011."
Amr,AmrB,Colombia,Copacabana,36,20,1 station,"Evaluar y monitorear la calidad del aire en el Valle de Aburrá, Area Metropolitana Valle de Aburra, Medellin, 2012."
Amr,AmrB,Colombia,Giratoda,37,21,1 station,"Evaluar y monitorear la calidad del aire en el Valle de Aburrá, Area Metropolitana Valle de Aburra, Medellin, 2012."
Amr,AmrB,Colombia,Itaguì,46,26,3 stations,"Evaluar y monitorear la calidad del aire en el Valle de Aburrá, Area Metropolitana Valle de Aburra, Medellin, 2012."
Amr,AmrB,Colombia,Manizales,30,17,4 stations,"Calidad del aire en la zona centro y oriente de la ciudad de Mazales. C.M. Gonales Duque, Universidad Nacional de Colombia Sede Manizales, 2012."
Amr,AmrB,Colombia,Medellin,48,27,3 stations,"Boletin Informativo, Medio Ambiente, Enero-Abril 2011. Alcadia de Medellin, 2011."
Amr,AmrB,Colombia,Sabaneta,47,26,1 station,"Evaluar y monitorear la calidad del aire en el Valle de Aburrá, Area Metropolitana Valle de Aburra, Medellin, 2012."
Amr,AmrB,Costa Rica,Alajuela,26,14,"1 station, comercial","Cuarto Informe Annual de Calidad del Aire, Grande Area Metropolitana, 2012."
Amr,AmrB,Costa Rica,Belén,33,18,"1 station, comercial/residential","Cuarto Informe Annual de Calidad del Aire, Grande Area Metropolitana, 2012."
Amr,AmrB,Costa Rica,Heredia,45,24,"1 station, comercial","Cuarto Informe Annual de Calidad del Aire, Grande Area Metropolitana, 2012."
Amr,AmrB,Costa Rica,San Jose,27,15,"5 stations, 4 comercial and 1 comercial/residential stations","Cuarto Informe Annual de Calidad del Aire, Grande Area Metropolitana, 2012."
Amr,AmrD,Ecuador,Ambato,20,9,NA,Ministerio del Ambiente.Concentración de material particulado PM10 en el aire. CA-CTR-005. Concentración de material particulado PM2.5 en el aire. CA-CTR-004. 2013.
Amr,AmrD,Ecuador,Cuenca,35,17,3 stations,Ministerio del Ambiente.Concentración de material particulado PM10 en el aire. CA-CTR-005. Concentración de material particulado PM2.5 en el aire. CA-CTR-004. 2013.
Amr,AmrD,Ecuador,Ibarra,18,9,NA,Ministerio del Ambiente.Concentración de material particulado PM10 en el aire. CA-CTR-005. Concentración de material particulado PM2.5 en el aire. CA-CTR-004. 2013.
Amr,AmrD,Ecuador,Latacunga,28,14,NA,Ministerio del Ambiente.Concentración de material particulado PM10 en el aire. CA-CTR-005. Concentración de material particulado PM2.5 en el aire. CA-CTR-004. 2013.
Amr,AmrD,Ecuador,Manta,28,13,NA,Ministerio del Ambiente.Concentración de material particulado PM10 en el aire. CA-CTR-005. Concentración de material particulado PM2.5 en el aire. CA-CTR-004. 2013.
Amr,AmrD,Ecuador,Milagro,66,32,NA,Ministerio del Ambiente.Concentración de material particulado PM10 en el aire. CA-CTR-005. Concentración de material particulado PM2.5 en el aire. CA-CTR-004. 2013.
Amr,AmrD,Ecuador,Portoviejo,25,12,NA,Ministerio del Ambiente.Concentración de material particulado PM10 en el aire. CA-CTR-005. Concentración de material particulado PM2.5 en el aire. CA-CTR-004. 2013.
Amr,AmrD,Ecuador,Quito,38,18,NA,Ministerio del Ambiente.Concentración de material particulado PM10 en el aire. CA-CTR-005. Concentración de material particulado PM2.5 en el aire. CA-CTR-004. 2013.
Amr,AmrD,Ecuador,Santo Domingo,69,33,NA,Ministerio del Ambiente.Concentración de material particulado PM10 en el aire. CA-CTR-005. Concentración de material particulado PM2.5 en el aire. CA-CTR-004. 2013.
Amr,AmrD,Guatemala,Guatemala city,45,33,4 stations : urban,Informe Annual 2012 Monitoreo del aire en la ciudad de Guatemala
Amr,AmrD,Honduras,Tegucigalpa,58,32,2 stations in capital city,Informe Annual 2012 Monitoreo del aire en la ciudad de Guatemala
Amr,AmrB,Jamaica,Clarendon/Hayes,34,18,"2 station: residential, industry",Jamaica National Environment Protection Agency Ambient Air Quality Report 2011
Amr,AmrB,Jamaica,Ewarton,24,13,"2 station: residential, industry",Jamaica National Environment Protection Agency Ambient Air Quality Report 2011
Amr,AmrB,Jamaica,Kingston,37,20,8 stations,Jamaica National Environment Protection Agency Ambient Air Quality Report 2011
Amr,AmrB,Mexico,Guadalajara,41,13,9 stations,SEMARNAT. Sistema de Cálculo de Indicadores de la Calidad del Aire
Amr,AmrB,Mexico,Irapuato,55,18,3 stations,SEMARNAT. Sistema de Cálculo de Indicadores de la Calidad del Aire
Amr,AmrB,Mexico,Leòn,58,19,3 stations,SEMARNAT. Sistema de Cálculo de Indicadores de la Calidad del Aire
Amr,AmrB,Mexico,Mexico city,93,25,NA,"SEMARNAT. Compendio de Estatisticas Ambientales 2012. Secretaria de Medio Ambiente y Recursos Naturales, 2013."
Amr,AmrB,Mexico,Monterrey,86,36,NA,Sistema Integral de Monitoreo Ambiental
Amr,AmrB,Mexico,Puebla,32,20,4 stations,SEMARNAT. Sistema de Cálculo de Indicadores de la Calidad del Aire
Amr,AmrB,Mexico,Salamanca ,60,20,3 stations,SEMARNAT. Sistema de Cálculo de Indicadores de la Calidad del Aire
Amr,AmrB,Mexico,Silao,51,16,1 station,SEMARNAT. Sistema de Cálculo de Indicadores de la Calidad del Aire
Amr,AmrB,Mexico,Toluca,80,33,1 station,SEMARNAT. Sistema de Cálculo de Indicadores de la Calidad del Aire
Amr,AmrD,Paraguay,Asuncion ,,18,"3 stations: 1  background urban, 2 background tranpsort","Plan de accion para combustible y vehiculos mas limpios en Paraguay. Received from Agnes Soares, WHO PAHO/WHO Office Paraguay. "
Amr,AmrD,Peru,Lima,63,38,4 stations,Instituto Nacional de Estadistica e Informatica. Anuario de Estatisticas Amientales 2012.
Amr,AmrB,Venezuela (Bolivarian Republic of),Barcelona-Puerto La Cruz,59,32,NA,Reporte Ambiental 2012. Instituto Nacional de Estatistica. Republica Bolivariana de Venezuela.
Amr,AmrB,Venezuela (Bolivarian Republic of),Caracas,45,24,NA,Reporte Ambiental 2012. Instituto Nacional de Estatistica. Republica Bolivariana de Venezuela.
AmrHI,AmrA,Canada,Abbotsford,,4,"2 residential stations (PM2.5),  (PM10)","Environment Canada. Ground-level Ozone and Fine Particulate Matter (PM2.5) Concentrations at Monitoring Stations, Canada, 2010. Data for British Columbia (2012): Personal communication, Ministry of Environment, British Columbia."
AmrHI,AmrA,Canada,Auclair,,5,Rural Forest,
AmrHI,AmrA,Canada,Barrie,21,7,Urban Residential,
AmrHI,AmrA,Canada,Bathurst,28,9,Urban Residential,
AmrHI,AmrA,Canada,Beaverlodge,,9,Rural Agricultural,
AmrHI,AmrA,Canada,Bécancour,32,11,Urban Residential,
AmrHI,AmrA,Canada,Belleville,16,5,Urban Residential,
AmrHI,AmrA,Canada,Brampton,,7,Urban Residential,
AmrHI,AmrA,Canada,Brandon,26,6,Urban Residential,
AmrHI,AmrA,Canada,Brantford,26,9,Urban Commercial,
AmrHI,AmrA,Canada,Burlington,,8,Urban Residential,
AmrHI,AmrA,Canada,Burnaby,11,4,"2 residential stations (PM2.5), 2 residential stations (PM10)",
AmrHI,AmrA,Canada,Burns Lake,17,5,"commercial (PM2.5), commercial (PM10)",
AmrHI,AmrA,Canada,Calgary,53,11,"Urban Commercial, Urban Residential",
AmrHI,AmrA,Canada,Campbell River,10,4,"residential (PM2.5),  (PM10)",
AmrHI,AmrA,Canada,Caroline,,5,Rural Agricultural,
AmrHI,AmrA,Canada,Castlegar,13,," (PM2.5), residential (PM10)",
AmrHI,AmrA,Canada,Chalk River (Petawawa),,4,Rural Forest,
AmrHI,AmrA,Canada,Charette,,9,Rural Forest,
AmrHI,AmrA,Canada,Chatham,25,8,Urban Commercial,
AmrHI,AmrA,Canada,Chilliwack,11,4,"residential (PM2.5), residential (PM10)",
AmrHI,AmrA,Canada,Cold Lake,,7,Urban Residential,
AmrHI,AmrA,Canada,Corner Brook,20,7,"Urban Commercial, Urban Commercial",
AmrHI,AmrA,Canada,Cornwall,22,7,Urban Residential,
AmrHI,AmrA,Canada,Creston,21,4,"residential (PM2.5),  (PM10)",
AmrHI,AmrA,Canada,Crofton,,4,"residential (PM2.5),  (PM10)",
AmrHI,AmrA,Canada,Debolt,,5,Urban Residential,
AmrHI,AmrA,Canada,Deschambault,,8,Rural Agricultural,
AmrHI,AmrA,Canada,Drayton Valley,27,9,Urban Residential,
AmrHI,AmrA,Canada,Duncan,11,4,"residential (PM2.5),  (PM10)",
AmrHI,AmrA,Canada,Edmonton,30,11,"Urban Residential, Urban Commercial, Urban Commercial",
AmrHI,AmrA,Canada,Elk Island,,5,Rural Undeveloped,
AmrHI,AmrA,Canada,Ferme Neuve,,6,Rural Forest,
AmrHI,AmrA,Canada,Flin Flon,21,8,Urban Commercial,
AmrHI,AmrA,Canada,Fort Chipewyan,,5,Rural Undeveloped,
AmrHI,AmrA,Canada,Fort Mackay,,5,Urban Residential,
AmrHI,AmrA,Canada,Fort Mcmurray,17,6,Urban Residential,
AmrHI,AmrA,Canada,Fort Saskatchewan,,9,Urban Residential,
AmrHI,AmrA,Canada,Fredericton,13,4,Urban Commercial,
AmrHI,AmrA,Canada,Gatineau,,12,Urban Residential,
AmrHI,AmrA,Canada,Golden,17,6,"residential (PM2.5), residential (PM10)",
AmrHI,AmrA,Canada,Grand Bend,,8,Urban Residential,
AmrHI,AmrA,Canada,Grand Forks,18,6,"commercial (PM2.5),  (PM10)",
AmrHI,AmrA,Canada,Grande Prairie,24,8,"Urban Residential, Urban Residential",
AmrHI,AmrA,Canada,Guelph,23,8,Urban Residential,
AmrHI,AmrA,Canada,Hamilton,27,9,"Urban Commercial, Urban Residential",
AmrHI,AmrA,Canada,Hinton,29,11,Urban Residential,
AmrHI,AmrA,Canada,Hope,10,4,"residential (PM2.5), residential (PM10)",
AmrHI,AmrA,Canada,Houston,15,6,"commercial (PM2.5), commercial (PM10)",
AmrHI,AmrA,Canada,Kelowna,13,4,"residential (PM2.5),  (PM10)",
AmrHI,AmrA,Canada,Kingston,25,8,Urban Residential,
AmrHI,AmrA,Canada,Kitchener,24,8,Urban Commercial,
AmrHI,AmrA,Canada,Kitimat,8,3,"4 residential stations (PM2.5),  (PM10)",
AmrHI,AmrA,Canada,La Doré,,4,Rural Forest,
AmrHI,AmrA,Canada,La Patrie,,4,Rural Forest,
AmrHI,AmrA,Canada,La Pêche,,6,Rural Forest,
AmrHI,AmrA,Canada,Lac-Édouard,,7,Rural Forest,
AmrHI,AmrA,Canada,Lamont,,8,Rural Agricultural,
AmrHI,AmrA,Canada,Langley,10,4,"residential (PM2.5), residential (PM10)",
AmrHI,AmrA,Canada,L'Assomption,,10,Urban Residential,
AmrHI,AmrA,Canada,Laval,,11,Urban Residential,
AmrHI,AmrA,Canada,Lethbridge,22,7,Urban Residential,
AmrHI,AmrA,Canada,London,23,8,Urban Commercial,
AmrHI,AmrA,Canada,Longueuil,,9,"Urban Residential, Urban Residential",
AmrHI,AmrA,Canada,Medicine Hat,23,8,Urban Residential,
AmrHI,AmrA,Canada,Mississauga,,8,Urban Commercial,
AmrHI,AmrA,Canada,Moncton,17,6,Urban Residential,
AmrHI,AmrA,Canada,Montréal,34,11,"Urban Residential, Urban Commercial, Urban Commercial, Urban Commercial, Urban Residential, Urban Commercial, Urban Commercial, Urban Commercial, Urban Residential",
AmrHI,AmrA,Canada,Morrisburg,21,7,Urban Commercial,
AmrHI,AmrA,Canada,Mount Pearl,,3,Urban Residential,
AmrHI,AmrA,Canada,Nanaimo,14,5,"2 residential stations (PM2.5),  (PM10)",
AmrHI,AmrA,Canada,Nelson,12,4,"residential (PM2.5), residential (PM10)",
AmrHI,AmrA,Canada,Newmarket,,7,Urban Residential,
AmrHI,AmrA,Canada,North Bay,15,5,Urban Residential,
AmrHI,AmrA,Canada,Notre-Dame-du-Rosaire,,5,Rural Forest,
AmrHI,AmrA,Canada,Oakville,,7,Urban Residential,
AmrHI,AmrA,Canada,Oshawa,22,7,Urban Residential,
AmrHI,AmrA,Canada,Osoyoos,16,5,"residential (PM2.5),  (PM10)",
AmrHI,AmrA,Canada,Ottawa,17,6,"Urban Commercial, Urban Residential",
AmrHI,AmrA,Canada,Parry Sound,17,6,Urban Residential,
AmrHI,AmrA,Canada,Peterborough,20,7,Urban Residential,
AmrHI,AmrA,Canada,Pitt Meadow,,4,"residential (PM2.5),  (PM10)",
AmrHI,AmrA,Canada,Port Alice,,12,Urban Commercial,
AmrHI,AmrA,Canada,Port Moody,11,5,"commercial (PM2.5), commercial (PM10)",
AmrHI,AmrA,Canada,Port Stanley,23,8,Urban Commercial,
AmrHI,AmrA,Canada,Powell River,,2,"2 residential stations (PM2.5),  (PM10)",
AmrHI,AmrA,Canada,Prince Albert,16,5,Urban Commercial,
AmrHI,AmrA,Canada,Prince George,14,6,"4 stations (3 commercial, 1 residential) (PM2.5), 2 stations (1 commercial, 1 residential) (PM10)",
AmrHI,AmrA,Canada,Québec,28,9,"Urban Residential, Urban Residential, Urban Residential",
AmrHI,AmrA,Canada,Quesnel,18,7,"3 residential stations (PM2.5), 1 residential station (PM10)",
AmrHI,AmrA,Canada,Red Deer,42,14,Urban Commercial,
AmrHI,AmrA,Canada,Regina,33,7,Urban Commercial,
AmrHI,AmrA,Canada,Revelstoke,14,5,Urban Residential,
AmrHI,AmrA,Canada,Richmond,,4,Urban Residential,
AmrHI,AmrA,Canada,Rouyn-Noranda,22,7,Urban Residential,
AmrHI,AmrA,Canada,Saguenay,,6,Urban Residential,
AmrHI,AmrA,Canada,Saint John,24,8,"Urban Residential, Urban Residential, Urban Residential, Urban Residential",
AmrHI,AmrA,Canada,Saint-Anicet,,10,Rural Agricultural,
AmrHI,AmrA,Canada,Saint-Jean-Sur-Richelieu,,8,Rural Agricultural,
AmrHI,AmrA,Canada,Saint-Simon,,7,Rural Agricultural,
AmrHI,AmrA,Canada,Sarnia,37,12,Urban Residential,
AmrHI,AmrA,Canada,Saskatoon,22,7,Urban Commercial,
AmrHI,AmrA,Canada,Senneterre,22,7,Rural Forest,
